# wx wy wz w Lxx Lyy Lzz
  -6.6201011427824297E-003   3.3434832231265480E-004   1.7069022968889330E-002   1.8310900388942484E-002  -286.92232408107634        87.921410483856420        103.56585248106332     
   9.0452626807232400E-003  -3.4525320584495491E-004  -3.4462372402549908E-002   3.5631321731749786E-002   187.12901805283082        7.3661681234595893       -308.53263566220028     
   2.7943210820087026E-003   5.4822703004773642E-004  -1.0432205067724801E-002   1.0813865440299147E-002   54.829440577424457        114.27220649039583       -95.671256160094316     
   1.1926759949064510E-002  -1.3578358102342644E-003   3.7765035103887575E-002   3.9626874685849557E-002  -28.345780442306353       -59.186756148258489        438.83016168053786     
  -9.1577062851607265E-003  -4.1722981730072224E-004   2.1529082986381627E-002   2.3399552973512632E-002  -562.37968366996790       -163.28048802586514        95.191467676580487     
  -4.2168233184270770E-003   2.7766169782610351E-003   5.0423122609379086E-003   7.1355527942551546E-003  -325.38891351931818        331.79269277464692       -54.281706254648981     
   3.8902424173121990E-003  -3.6266289901830243E-004  -2.5100107739595486E-002   2.5402380183421409E-002  -81.111460111047734        61.138672633498132       -269.99059339935513     
  -2.4381095260814552E-003   1.1622085948428580E-003   3.8385698706126972E-002   3.8480605141248153E-002   186.73584353976730        170.58517789810858        402.88041443009456     
  -1.3296504394498061E-003   2.6060550159061240E-003   4.4888488565609638E-003   5.3581020048247682E-003  -87.436156415629696        229.66969045664911        49.408517376626527     
   3.5815683943991924E-003   3.2192682658609868E-003  -2.4738734918586330E-002   2.5203101509604357E-002   55.000313194757283        228.93098764369176       -232.58549205641299     
  -5.2228849190181711E-004  -4.8434608749006961E-003   3.0243370856902676E-002   3.0633207133821574E-002   175.75861050594517       -372.80656945247182        306.96301387684593     
  -7.7231387490700690E-003  -7.9166323308793043E-004   2.8016036514057475E-002   2.9071840409045528E-002  -418.69689875306000       -110.67168146712237        234.71634800502005     
  -1.2613710359390571E-003  -9.3739165175821728E-003  -3.4374655906990993E-002   3.5652185578067111E-002  -454.84829183627426       -728.45383601102264       -383.33121134299580     
   1.1115738738613529E-004  -5.7022426340947755E-003   1.3959392563257702E-004   5.7050340478328561E-003   9.0343585077236206       -446.25629064079601        11.633609848676976     
  -1.7801682769925311E-003  -7.8216533439367467E-003   1.1833051779345637E-003   8.1084814405198088E-003  -57.617410047871132       -249.04421772845339        36.202300738688699     
  -1.1303552581557444E-002  -1.0670404350324925E-002   1.5308783092154617E-002   2.1817118731081473E-002  -564.35959933961760       -929.92851202728548        51.322380443263938     
   4.4056412936671705E-003   1.6795904903831385E-003  -1.0623727366330228E-002   1.1623006606638602E-002   59.623136254654419        114.83593788705384       -93.714972202783215     
   2.6893048060481553E-003   2.5235549604644011E-003  -2.1455284597020011E-002   2.1769931720550764E-002  -345.86999820946824        199.97939633115581       -350.28852964105545     
  -9.6675838634104668E-003  -1.3203416048338228E-003   3.1333818708648542E-002   3.2817886503795198E-002  -96.226911804742002       -163.29476012551427        303.98600366274252     
   2.4769810835263348E-003  -3.5386322837227167E-004  -3.1531973220030292E-003   4.0253332562694005E-003   122.33320101433937       -29.973061959992101        2.9993222784750282     
   1.6720587823121434E-002  -2.1949327120388638E-003  -4.1245752019908412E-002   4.4560159856635098E-002   68.061721725794030       -308.40890362606069       -446.08661412874284     
   6.4672282243445275E-004   1.0168144840904084E-003   1.0406378307166030E-002   1.0475918650694523E-002   444.27086001393621        149.44412047736139        307.84981615181192     
   2.8324932014881562E-003  -3.6258708110272781E-003   9.2831875742582781E-003   1.0360865234795767E-002   622.19431256527150       -370.79347056468271        316.31550312477862     
   9.4773887574468533E-003   6.1926815078158456E-004  -3.5379201825274861E-002   3.6631848335784048E-002  -491.01300090954356        4.8500366167367277       -590.58681514251168     
   7.2441435795098531E-003  -1.9566805210919974E-003  -2.0881607258330874E-002   2.2188910215541261E-002  -198.04751113176943       -360.60368414760416       -342.96086804811216     
   3.8180377350769800E-004   2.5709629674129024E-004  -1.5631475251138741E-002   1.5638250898173545E-002   148.11483800236530        41.181728753500281       -215.09454090222465     
  -1.4385715709690236E-002  -1.5742190283211011E-003   2.5463065210585709E-002   2.9288131929976296E-002  -224.01836652090103       -221.43010479208098        199.34576464678233     
   4.5768238080759671E-003  -6.6277525574894524E-004  -1.1139144523063464E-002   1.2060975413103987E-002  -128.57455324144837       -27.077793089882537       -203.58577371302371     
   5.6346456689754529E-003   1.8407504611245278E-003  -3.0337157893173816E-003   6.6589057333309339E-003   481.82383983554189        279.19986049788969        162.27730066804534     
  -1.5958794987100872E-002  -1.7135986535427310E-004   2.9532147667522695E-002   3.3568739140756185E-002  -62.410989771707953       -241.36404114908379        351.07207353512462     
  -5.8245446054639204E-003  -1.0319786703230193E-003   6.7782109391765800E-003   8.9963572279569675E-003  -135.79118494242749       -267.09901720968691        34.081539214553459     
   1.0659469323821884E-002   8.0772492151393576E-003  -1.5235291778353378E-002   2.0272650461163957E-002   346.18065137545489        1285.0949941793322       -111.72843063196443     
  -6.9230121479008002E-003  -2.3080918221208197E-003   2.6200736460634557E-002   2.7198050962136022E-002   286.56918720277054       -454.01841285381249        437.27955019294745     
  -4.2919029551867025E-003  -2.9105158518205085E-003   6.9132694206311632E-003   8.6420383928025191E-003  -56.711903090954166       -459.02748536207855        106.01342873241578     
   9.2502003906098293E-003   6.8398012357657927E-003  -3.1669129218852995E-002   3.3693958415295017E-002  -484.87332281447181        1362.2395390990785       -756.97505816014268     
   2.6269052878000131E-003   2.4944283404243950E-004  -7.2573786569274153E-003   7.7222016348028862E-003   57.759325993182742        106.19960046077144       -71.316217808085781     
  -7.2364256466961674E-003  -8.8629556956374075E-003   2.9450094904350313E-005   1.1441971294802461E-002  -257.08324905549387       -335.57946624309500        69.217110226917953     
  -1.3330160782063324E-002  -1.3627614276626931E-003   2.7671761374205080E-002   3.0745352213551441E-002  -98.780391444724870       -475.78614495848655        337.03356539436589     
   3.9560270262353099E-003   3.6833583517493001E-003  -2.1580342121547670E-002   2.2246987316550306E-002  -522.15898290324344        641.01386590903155       -605.35108610270925     
   4.2617315375594305E-003   2.2956643573444771E-003  -2.2653765172548815E-002   2.3165178761080093E-002   38.737352210491522        450.54195713612705       -289.06126658401166     
  -8.2248443274785463E-003  -6.3648421077704305E-005   3.2305185246596396E-002   3.3335823210919380E-002  -130.96593177685446       -337.20244733353388        343.06004617448207     
   1.9818030531229391E-003   2.4342498150658250E-004   1.1552881480570713E-002   1.1724157520568488E-002   514.09948826152356       -59.267545190892406        329.67137014104082     
   1.4062481132337244E-002   4.1970617739922967E-003  -4.7348390301314068E-002   4.9570543342368364E-002  -12.668430646133332        709.34583996939318       -571.14579295877627     
  -2.1896402462663654E-003  -5.1303375200184554E-004   6.7091296385821215E-003   7.0760263245739545E-003  -30.309062957110150       -91.037104789288435        68.250293921672366     
  -1.9882493922754922E-002  -5.1702605034462780E-003   3.4589017963775726E-002   4.0229905815950935E-002  -465.76619003408376       -602.16302535065506        210.53043014656527     
   1.5641028647195732E-002   8.3124513043708126E-004  -2.5364521016406030E-002   2.9810932088765289E-002   255.08622114331493        70.878908952429370       -183.61456616255217     
